JournalTitle,Abbreviation
Nature Materials,Nat Mater
Nature Nanotechnology,Nat Nanotechnol
Nature Biomedical Engineering,Nat Biomed Eng
Advanced Materials,Adv Mater
Matter,Matter
Journal of the American Chemical Society,J Am Chem Soc
Angewandte Chemie (International Ed. in English),Angew Chem Int Ed Engl
Advanced Functional Materials,Adv Funct Mater
Nano Today,Nano Today
ACS Nano,ACS Nano
Advanced Science,Adv Sci
Nano Letters,Nano Lett
Small,Small
Biomaterials Research,Biomater Res
Bioactive Materials,Bioact Mater
Biomaterials,Biomaterials
Acta Biomaterialia,Acta Biomater
Advanced Healthcare Materials,Adv Healthc Mater
Biofabrication,Biofabrication
ACS Biomaterials Science & Engineering,ACS Biomater Sci Eng
Journal of Controlled Release,J Control Release
Biomacromolecules,Biomacromolecules
Biomaterials Science,Biomater Sci
Journal of Nanobiotechnology,J Nanobiotechnology
Materials Today. Bio,Mater Today Bio
Regenerative Biomaterials,Regener Biomater
Journal of Materials Chemistry. B,J Mater Chem B
Dental Materials,Dent Mater
Biosensors & Bioelectronics,Biosens Bioelectron
ACS Applied Materials & Interfaces,ACS Appl Mater Interfaces
Chemical Engineering Journal,Chem Eng J
Theranostics,Theranostics
Journal of Materials Science and Technology,J Mater Sci Technol
International Journal of Nanomedicine,Int J Nanomedicine
"Colloids and Surfaces. B, Biointerfaces",Colloids Surf B Biointerfaces
Tissue Engineering. Part A,Tissue Eng Part A
Tissue Engineering. Part B,Tissue Eng Part B
Tissue Engineering. Part C,Tissue Eng Part C
Macromolecular Bioscience,Macromol Biosci
Journal of Biomedical Materials Research. Part A,J Biomed Mater Res A
"Journal of Biomedical Materials Research. Part B, Applied Biomaterials",J Biomed Mater Res B Appl Biomater
Biomedical Materials,Biomed Mater
"Sensors and Actuators. B, Chemical",Sensors Actuators B Chem
Polymer Degradation and Stability,Polym Degrad Stabil
Nanoscale,Nanoscale
Materials & Design,Mater Des
"Composites. Part B, Engineering",Compos Part B Eng
Bio-Design and Manufacturing,Bio-Des Manuf
European Polymer Journal,Eur Polym J
Applied Surface Science,Appl Surf Sci
"Materials Science & Engineering. R, Reports",Mater Sci Eng R Rep
Chemical Reviews,Chem Rev
Chemical Society Reviews,Chem Soc Rev
